timestamp,ip,protocol,port,hostname,tag,header,asn,geo,region,city,systime,cache_control,location,server,search_target,unique_service_name,host,nts,nt,naics,sic,sector
09/02/2017 11:09,192.167.116.1,udp,50875,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 11:09:21 GMT",max-age=1801,,"Unspecified, UPnP/1.0, Unspecified",upnp:rootdevice,uuid:1a9520de-eaf9-9bd7-45ac-df02013b9f7b::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:07,192.167.116.201,udp,52119,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age = 60,,Network Printer Server UPnP/1.0 V2.50.02.01 MAR-18-2013,upnp:rootdevice,uuid:16a65700-007c-1000-bb49-9c934e18e591::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:11,192.167.120.2,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1810,,"POSIX, UPnP/1.0, MicroStack/1.0.3905",upnp:rootdevice,uuid:lifeline-lenovo-Soho-1000-00D0B824B02F::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:12,192.167.120.60,udp,40772,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 09:12:44 GMT",max-age=1801,,"Unspecified, UPnP/1.0, Unspecified",upnp:rootdevice,uuid:ce6c1901-005d-2253-92c2-62bdd6e024aa::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:16,192.167.127.167,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,Linux/2.6.35.11-83.fc14.i686 UPnP/1.0 miniupnpd/1.0,upnp:rootdevice,uuid:dd342cf9-4b37-42e1-96fd-0022f481ebd1::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:24,192.167.129.3,udp,1025,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age = 60,,pSOS/2.23 UPnP/1.0 SAMPLE/1.0,upnp:rootdevice,uuid:Xerox-Printer-1_0-XRX0000AABC8631::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:18,192.167.144.123,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=120,,Linux/2.4.22-1.2115.nptl UPnP/1.0 miniupnpd/1.0,upnp:rootdevice,uuid:bcbafdc8-1dd1-11b2-a4fb-c2ffb79faeba::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:16,192.167.144.125,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=120,,Linux/2.4.22-1.2115.nptl UPnP/1.0 miniupnpd/1.0,upnp:rootdevice,uuid:bcbb0e3a-1dd1-11b2-acdd-a3515ce995ff::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 11:00,192.167.145.218,udp,53934,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 11:00:30 GMT",max-age=1801,,"Unspecified, UPnP/1.0, Unspecified",upnp:rootdevice,uuid:f95612e6-23d0-4106-04e1-45abf62b41df::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:20,192.167.146.157,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=120,,Linux/2.4.22-1.2115.nptl UPnP/1.0 miniupnpd/1.0,upnp:rootdevice,uuid:4f6d049a-1dd2-11b2-b1ad-fb370b841264::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:45,192.167.154.78,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,OS 1.0 UPnP/1.0 Realtek/V1.3,upnp:rootdevice,uuid:63041253-1019-2006-1228-d8eb97a1c7e8::upnp:rootdevice,,,,0,0,Information Technology
