timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
09/02/2017 02:43,192.168.228.230,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,UDEMATMOODLE,BEC1025,0,0,Information Technology
09/02/2017 02:36,192.168.229.21,udp,137,,netbios,40-8D-5C-8D-15-64,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,ATENEA,BEC1026,0,0,Information Technology
09/02/2017 02:43,192.168.229.81,udp,137,,netbios,00-1E-8F-1A-7B-78,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,CANON1A7B78,BEC1027,0,0,Information Technology
09/02/2017 01:57,192.168.233.11,udp,137,,netbios,30-85-A9-EC-85-9D,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,ACCESSPRO-PC,BEC1028,0,0,Information Technology
09/02/2017 02:24,192.168.233.239,udp,922,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,AIRPORT-TIME-CA,BEC1029,0,0,Information Technology
09/02/2017 01:53,192.168.234.45,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,SICAMIG,BEC1030,0,0,Information Technology
09/02/2017 03:42,192.168.234.101,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,PROREGIONES,BEC1031,0,0,Information Technology
09/02/2017 02:32,192.168.235.2,udp,137,,netbios,,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1032,0,0,Information Technology
09/02/2017 03:26,192.168.235.7,udp,137,,netbios,AC-16-2D-BF-82-6F,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1033,0,0,Information Technology
09/02/2017 03:35,192.168.238.78,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,ARELI,BEC1034,0,0,Information Technology
09/02/2017 01:26,192.168.240.100,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,WWW,BEC1035,0,0,Information Technology
09/02/2017 02:10,192.168.240.152,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1036,0,0,Information Technology
09/02/2017 01:19,192.168.240.183,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MARCY-XPS-8700,BEC1037,0,0,Information Technology
09/02/2017 02:26,192.168.242.9,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,IINUBE,BEC1038,0,0,Information Technology
09/02/2017 03:29,192.168.243.136,udp,137,,netbios,00-26-B9-43-AD-19,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,SERVSIRF,BEC1039,0,0,Information Technology
09/02/2017 01:19,192.168.243.143,udp,137,,netbios,1C-C1-DE-5F-AB-D2,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,ASISTUA,BEC1040,0,0,Information Technology
09/02/2017 01:23,192.168.243.148,udp,137,,netbios,00-1E-90-9E-8D-8A,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,PRESUPUESTO2,BEC1041,0,0,Information Technology
09/02/2017 01:47,192.168.243.159,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MACPRODIS,BEC1042,0,0,Information Technology
09/02/2017 02:06,192.168.243.171,udp,137,,netbios,00-40-AD-28-9F-93,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,WEBBOX150106387,BEC1043,0,0,Information Technology
09/02/2017 02:12,192.168.245.1,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,CIDI,BEC1044,0,0,Information Technology
09/02/2017 03:30,192.168.245.16,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,PAPIMECIDITECA,BEC1045,0,0,Information Technology
09/02/2017 02:34,192.168.245.69,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPIFAB0EC,BEC1046,0,0,Information Technology
09/02/2017 01:58,192.168.246.9,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,CENTAURY,BEC1047,0,0,Information Technology
09/02/2017 02:41,192.168.246.25,udp,137,,netbios,00-1C-C0-05-06-B7,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,TESIGRAD-ECE592,BEC1048,0,0,Information Technology
09/02/2017 02:42,192.168.246.32,udp,137,,netbios,44-A8-42-44-80-7A,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,ZANYA2,BEC1049,0,0,Information Technology
09/02/2017 03:19,192.168.246.38,udp,137,,netbios,00-11-43-EE-87-FC,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MAYAB,BEC1050,0,0,Information Technology
09/02/2017 02:22,192.168.246.70,udp,137,,netbios,00-26-B9-47-8D-3B,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1051,0,0,Information Technology
09/02/2017 02:16,192.168.246.71,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,PCBIOL,BEC1052,0,0,Information Technology
09/02/2017 02:05,192.168.246.144,udp,137,,netbios,,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1053,0,0,Information Technology
09/02/2017 01:40,192.168.246.158,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,PUBLICACIONES-3,BEC1054,0,0,Information Technology
